|Sr No|Zone|Region|Branch/Micro Market|Collateral Type|Sub Collateral Type|Categorisation (P/A/I)|Type 1/2/3/4|Documentation & other Approvals|
|130  |South  |AP & Telangana|AP & Telangana                                            |Contonment flats - approved floors                                                                                                                                                 |Cantonement Limits                                                                                                                                      |A                     |Type II           |1. Property should be identifiable  2. 100% Completed properties. 3. Property should be in developing locality with basic amenities and 50% residential habitation. 4. Funding  Up to approved floors only. 5. Property should be in residential zone. 6. No funding in Buffer/ water Body. 7. Need to document latest 5 years tax paid receipts. 8. Need to Execute RMODT. 9. Minimum age of the property is 10 years. 10. Approval plan should be in place 11. Funding Applicable where no demolition risk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|131  |South  |AP & Telangana|AP & Telangana                                            |Residential properties with narrow Approach min 6 feet                                                                                                                             |MC LImits                                                                                                                                               |I                     |Type III          |1. Property should be lcoated in core municpal limits/ developed localities/old settlement areas. 2. Property should fall in other than water body and Buffer zone. 3. Need to execute RMODT 4. Minimum Approach is 6 feet. 5. Property Tax receipt/E-Bill are required for completed properties.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|132  |South  |AP & Telangana|AP & Telangana                                            |GP Independent Houses without plan approvals without NA conversion                                                                                                                 |GP Limits                                                                                                                                               |I                     |Type IV           |1. Property should be identifiable with Layout/Govt approved Revenue Surveyor sketch 2. Property should fall in residential locality and properties nearby  water body and Buffer zone to be avoided. 3. More than 50% habitation with basic amentiies. 4.Self COnstruction/ 100% completed Properties 5.Two boundaries should be compelted Houses for identification 8. Need to execute RMODT 9. Minimum Approach is 15 feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|133  |South  |AP & Telangana|AP & Telangana                                            |Play schools                                                                                                                                                                       |Play schools                                                                                                                                            |S                     |Special Collateral|1.Completed & Occupied Properties. 2. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 3.Need to document approved plan copy/Latest tax paid receipts. 4.Need to execute RMODT. 5.Min approach road to the property 20 feet. 6. Product program should be verified                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|134  |South  |AP & Telangana|AP & Telangana                                            |Hospital/nursing homes with less than 10 beds                                                                                                                                      |Hospital                                                                                                                                                |S                     |Special Collateral|1.Completed & Occupied Properties. 2. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 3.Need to document approved plan copy/Latest tax paid receipts. 4.Need to execute RMODT. 5.Min approach road to the property 20 feet. 6. Product program should be verified                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|135  |South  |AP & Telangana|AP & Telangana                                            |PG/Hostels                                                                                                                                                                         |Hostels                                                                                                                                                 |S                     |Special Collateral|1.Completed & Occupied Properties. 2. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 3.Need to document approved plan copy/Latest tax paid receipts. 4.Need to execute RMODT. 5.Min approach road to the property 20 feet. 6. Product program should be verified                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|136  |South  |AP & Telangana|AP & Telangana                                            |Gramakantam Properties                                                                                                                                                             |Gramakantam Residential                                                                                                                                 |I                     |Type IV           |1. Property should be identifiable. 2. Property should fall in other than water body and Buffer zone. 3. More than 50% habitation with basic amentiies. 4. Purchase/Resale/LAP/Self construction are allowed for funding. 5.Only completed properties or self construction cases with approved plan  only 6. Need to execute RMODT 7. Minimum Approach is 15 feet 8. No plot funding 9. Approval plan should be in place wherever applicable.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|137  |South  |AP & Telangana|AP & Telangana                                            |GO 111 Properties                                                                                                                                                                  |GO 111 Properties                                                                                                                                       |I                     |Type IV           |1. Property should be identifiable with Katcha Layout/GP layout 2. Property should fall in other than water body and Buffer zone. 3. More than 50% habitation with basic amentiies. 4.Self Construction/Completed properties - No Plot funding. 5. Need to execute RMODT 6. Minimum Approach is 15 feet 7. No plot funding. 8. Approval plan should be in place wherever applicable.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|138  |South  |AP & Telangana|AP & Telangana                                            |Single Title Deed                                                                                                                                                                  |Single Title Deed                                                                                                                                       |I                     |Type IV           |1. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 2. Property should fall in other than water body and Buffer zone. 3. More than 50% habitation with basic amentiies. 4.At least one LRS/Municpal Approved plan in the survey number where plot located in other than residential zone like manufacturing zone, Conservation zone, public and semi public use zone, Recreation zone. 5.Self Construction/HE/Completed Proeprties - No plot funding. 6. Need to execute RMODT 7. Minimum Approach is 15 feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|139  |South  |AP & Telangana|AP                                                        |Form D Patta property for Andhra Pradesh                                                                                                                                           |Form D patta without sale deed                                                                                                                          |I                     |Type IV           |1. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 2. Property should fall in other than water body and Buffer zone. 3. More than 50% habitation with basic amentiies. 4.At least one LRS/Municpal Approved plan in the survey number where plot located in other than residential zone like manufacturing zone, Conservation zone, public and semi public use zone, Recreation zone. 5.Self Construction/HE/Completed Proeprties - No plot funding. 6. Need to execute RMODT 7. Minimum Approach is 15 feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|140  |South  |AP & Telangana|Telangana                                                 |Go 59 properties                                                                                                                                                                   |GO 59 Patta property with out sale deed& plan copy                                                                                                      |I                     |Type IV           |1. Property should be identifiable with Katch Layout/GP or HMDA or DTCP Layout/with utility Bills. 2. Property should fall in other than water body and Buffer zone. 3. More than 50% habitation with basic amentiies. 4.At least one LRS/Municpal Approved plan in the survey number where plot located in other than residential zone like manufacturing zone, Conservation zone, public and semi public use zone, Recreation zone. 5.Self Construction/Home Extension/LAP/Completed Properties are allowed for funding - No plot funding. 6. Need to execute RMODT 7. Minimum Approach is 15 feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|141  |South  |AP & Telangana|AP & Telangana                                            |Plot Purchase/P+C without approved layout/LRS                                                                                                                                      |MC Limits                                                                                                                                               |P                     |Type II           |1. Property should be identifiable with Katch Layout/erstwhile GP Layout. 2. Property should fall in residential zone only and all water body and Buffer zone are not allowed for funding. 3. More than 50% habitation with basic amentiies. 4.Funding only in residential zone. 5. Need to execute RMODT 6. Minimum Approach is 15 feet 7.Property should be identifable with Government surveyor sketch for identifiaction/Kacha Layout/erstwhile Gp approved layout wherever applicable. 10. Need to execute RMODT. 11. Survey number based plots with three sides open should be avoided. 12. Working plan& Estimations are required upfront for adding construction value in the report.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
